date,total_value
2021-01-04 07:00:00,1000000000.0
2021-01-05 07:00:00,1000000000.0
2021-01-06 07:00:00,1000000000.0
2021-01-07 07:00:00,1000000000.0
2021-01-08 07:00:00,1000000000.0
2021-01-11 07:00:00,1000000000.0
2021-01-12 07:00:00,1000000000.0
2021-01-13 07:00:00,1000000000.0
2021-01-14 07:00:00,1000000000.0
2021-01-15 07:00:00,1000000000.0
2021-01-18 07:00:00,1000000000.0
2021-01-19 07:00:00,1000000000.0
2021-01-20 07:00:00,1000000000.0
2021-01-21 07:00:00,1000000000.0
2021-01-22 07:00:00,1000000000.0
2021-01-25 07:00:00,1000000000.0
2021-01-26 07:00:00,1000000000.0
2021-01-27 07:00:00,1000000000.0
2021-01-28 07:00:00,1000000000.0
2021-01-29 07:00:00,1000000000.0
2021-02-01 07:00:00,1000000000.0
2021-02-02 07:00:00,1000000000.0
2021-02-03 07:00:00,1000000000.0
2021-02-04 07:00:00,1000000000.0
2021-02-05 07:00:00,1000000000.0
2021-02-08 07:00:00,1000000000.0
2021-02-09 07:00:00,1000000000.0
2021-02-17 07:00:00,1000000000.0
2021-02-18 07:00:00,1000000000.0
2021-02-19 07:00:00,1000000000.0
2021-02-22 07:00:00,1000000000.0
2021-02-23 07:00:00,1000000000.0
2021-02-24 07:00:00,1000000000.0
2021-02-25 07:00:00,1000000000.0
2021-02-26 07:00:00,1000000000.0
2021-03-01 07:00:00,1000000000.0
2021-03-02 07:00:00,1000000000.0
2021-03-03 07:00:00,1000000000.0
2021-03-04 07:00:00,1000000000.0
2021-03-05 07:00:00,1000000000.0
2021-03-08 07:00:00,1000000000.0
2021-03-09 07:00:00,1000000000.0
2021-03-10 07:00:00,1000000000.0
2021-03-11 07:00:00,1000000000.0
2021-03-12 07:00:00,1000000000.0
2021-03-15 07:00:00,1000000000.0
2021-03-16 07:00:00,1000000000.0
2021-03-17 07:00:00,1000000000.0
2021-03-18 07:00:00,1000000000.0
2021-03-19 07:00:00,1000000000.0
2021-03-22 07:00:00,1000000000.0
2021-03-23 07:00:00,1000000000.0
2021-03-24 07:00:00,1000000000.0
2021-03-25 07:00:00,1000000000.0
2021-03-26 07:00:00,1000000000.0
2021-03-29 07:00:00,1000000000.0
2021-03-30 07:00:00,1000000000.0
2021-03-31 07:00:00,1000000000.0
2021-04-01 07:00:00,1000000000.0
2021-04-02 07:00:00,1000000000.0
2021-04-05 07:00:00,1000000000.0
2021-04-06 07:00:00,1000000000.0
2021-04-07 07:00:00,1000000000.0
2021-04-08 07:00:00,1000000000.0
2021-04-09 07:00:00,1000000000.0
2021-04-12 07:00:00,1000000000.0
2021-04-13 07:00:00,1003475016.7320075
2021-04-14 07:00:00,999558640.7320075
2021-04-15 07:00:00,1000934664.7320075
2021-04-16 07:00:00,1000537734.7320075
2021-04-19 07:00:00,1007364930.7320075
2021-04-20 07:00:00,1015382916.7320075
2021-04-22 07:00:00,1004639344.7320075
